	a.i.	length.patient.	mean.d.JMJD1C.	median.d.JMJD1C.	sum.d.JMJD1C.	mean.e.IFNG.	median.e.IFNG.	sum.e.IFNG.	mean.f.STAT3_mean.	median.f.STAT3_mean.	sum.f.STAT3_mean.	mean.f.STAT3_median.	median.f.STAT3_median.	sum.f.STAT3_median.	mean.f.STAT3_sum.	median.f.STAT3_sum.	sum.f.STAT3_sum.	mean.f.PI3K_mean.	median.f.PI3K_mean.	sum.f.PI3K_mean.	mean.f.PI3K_median.	median.f.PI3K_median.	sum.f.PI3K_median.	mean.f.PI3K_sum.	median.f.PI3K_sum.	sum.f.PI3K_sum.	mean.o.GZMB.	median.o.GZMB.	sum.o.GZMB.	mean.p.TNF.	median.p.TNF.	sum.p.TNF.	mean.q.IFNG.	median.q.IFNG.	sum.q.IFNG.	Treg_frequence	CD8_frequence	CD8_ratio
123	LIHC.LichunMa2019.sce.rds	13	0.00435669	-0.468584443	0.026140143	-0.25619892	-0.54760821	-1.537193523	0.066477127	0.07789964	0.398862763	-0.020906316	-0.018322434	-0.125437896	5.384647298	6.309870839	32.30788379	-0.001515902	-0.018848475	-0.009095412	-0.059665322	-0.063972033	-0.357991929	-0.153106105	-1.903696007	-0.918636631	0.907587062	1.145727895	39.93383072	-0.265727312	-0.407560341	-11.69200173	0.052794695	-0.54760821	2.322966597	0.260869565	0.656716418	7.333333333
124	LIHC.LichunMa2019.sce.rds	13	-0.468584443	-0.468584443	-0.468584443	-0.54760821	-0.54760821	-0.54760821	0.12227069	0.12227069	0.12227069	-0.014449149	-0.014449149	-0.014449149	9.903925902	9.903925902	9.903925902	0.00099668	0.00099668	0.00099668	-0.084465056	-0.084465056	-0.084465056	0.100664671	0.100664671	0.100664671	4.093110332	4.665885122	16.37244133	0.220249505	-0.407560341	0.880998022	0.57640537	0.079252107	2.305621481	0.5	0.666666667	4
125	LIHC.LichunMa2019.sce.rds	13	-0.468584443	-0.468584443	-0.468584443	-0.54760821	-0.54760821	-0.54760821	0.065068467	0.065068467	0.065068467	-0.025798472	-0.025798472	-0.025798472	5.270545865	5.270545865	5.270545865	0.005642381	0.005642381	0.005642381	-0.077395416	-0.077395416	-0.077395416	0.569880461	0.569880461	0.569880461	-0.128110101	-0.415969064	-1.02488081	-0.407560341	-0.407560341	-3.260482728	1.328810826	1.917261714	10.63048661	0.142857143	0.533333333	8
126	MELA.HanjieLi2019.sce.rds	23	-0.044561684	-0.284494864	-1.158603786	-0.415844867	-0.415844867	-10.81196655	0.024340448	0.023778843	0.632851645	-0.016996482	-0.017230775	-0.44190852	2.117618967	2.06875931	55.05809313	0.065788274	0.058952782	1.710495136	-0.064630932	-0.061363689	-1.680404236	6.841980546	6.131089359	177.8914942	-0.449619039	-0.70551308	-240.0965669	0.057168681	-0.151451317	30.52807554	-0.138172987	-0.415844867	-73.7843753	0.388059701	0.888519135	20.53846154
127	MELA.HanjieLi2019.sce.rds	23	0.046496343	-0.284494864	2.510802522	-0.385658916	-0.415844867	-20.82558146	0.027718249	0.018513549	1.496785442	-0.020758825	-0.019991209	-1.120976525	2.411487656	1.610678751	130.2203334	0.047277126	0.047288365	2.552964794	-0.062520985	-0.063646578	-3.376133202	4.916821085	4.917989925	265.5083386	0.085070987	-0.70551308	52.7440117	-0.13643885	-0.151451317	-84.59208715	0.112065259	-0.415844867	69.48046029	0.255924171	0.746089049	11.48148148
128	MELA.HanjieLi2019.sce.rds	23	0.217552337	-0.284494864	27.84669919	-0.399601222	-0.415844867	-51.14895636	0.042400478	0.040459405	5.427261134	-0.01818664	-0.01829397	-2.327889983	3.688841552	3.519968268	472.1717186	0.056958551	0.057163014	7.290694529	-0.063939635	-0.063455154	-8.184273267	5.923689305	5.944953466	758.232231	0.502077936	0.715453645	642.1576805	-0.015395661	-0.151451317	-19.69105059	-0.031057848	-0.415844867	-39.72298765	0.263374486	0.724645892	9.9921875
129	MELA.HanjieLi2019.sce.rds	23	0.074605858	-0.284494864	5.670045218	-0.415844867	-0.415844867	-31.60420992	0.032625093	0.022653883	2.47950709	-0.021974093	-0.021718557	-1.670031049	2.838383117	1.970887841	215.7171169	0.061030819	0.070002616	4.638342221	-0.063421405	-0.062569063	-4.82002677	6.347205145	7.28027207	482.387591	-0.372537172	-0.70551308	-43.58684909	-0.151451317	-0.151451317	-17.71980413	-0.329396436	-0.415844867	-38.53938296	0.305220884	0.319672131	1.539473684
130	MELA.HanjieLi2019.sce.rds	23	-0.152919233	-0.284494864	-8.257638599	-0.415844867	-0.415844867	-22.45562284	0.019641559	0.017348551	1.06064419	-0.021722389	-0.021894453	-1.173009029	1.70881564	1.509323894	92.27604457	0.050630819	0.042892654	2.734064228	-0.062017616	-0.061477058	-3.348951266	5.265605179	4.460836026	284.3426797	-0.552792915	-0.70551308	-27.08685284	-0.029066605	-0.151451317	-1.424263665	-0.255165026	-0.415844867	-12.50308629	0.42519685	0.278409091	0.907407407
131	MELA.HanjieLi2019.sce.rds	23	-0.284494864	-0.284494864	-1.137979455	-0.415844867	-0.415844867	-1.663379469	-0.029740443	-0.042850594	-0.118961774	-0.020989715	-0.025788823	-0.08395886	-2.587418584	-3.728001691	-10.34967434	0.014213125	0.016286364	0.0568525	-0.048015041	-0.050415697	-0.192060165	1.478165007	1.693781871	5.912660026	-0.06030425	-0.70551308	-2.0503445	-0.151451317	-0.151451317	-5.14934479	-0.364297751	-0.415844867	-12.38612353	0.222222222	0.653846154	8.5
132	MELA.HanjieLi2019.sce.rds	23	-0.284494864	-0.284494864	-1.137979455	-0.415844867	-0.415844867	-1.663379469	-0.045620857	-0.032367359	-0.182483428	-0.025610049	-0.021930308	-0.102440196	-3.969014562	-2.815960199	-15.87605825	0.018663797	0.019602137	0.074655187	-0.055866853	-0.059840322	-0.223467412	1.941034871	2.038622228	7.764139485	0.139922079	-0.70551308	23.36698719	-0.037485898	-0.151451317	-6.260144923	-0.324296476	-0.415844867	-54.15751142	0.285714286	0.922651934	41.75
