"d"	"f"	"o"	"n"
"402"	4	49	-0.100921678469916	0.767803987378345
"403"	4	50	0.2	0.555445442105586
"404"	4	51	0	1
"405"	4	52	0.1	0.769874999892137
"406"	4	53	0.2	0.555445442105586
"407"	4	54	-0.4	0.222868350133521
"408"	4	55	-0.2	0.555445442105586
"409"	4	56	-0.3	0.370083122282068
"410"	4	57	-0.4	0.222868350133521
"411"	4	58	-0.3	0.370083122282068
"412"	4	59	0.1	0.769874999892137
"413"	4	60	-0.4	0.222868350133521
"414"	4	61	-0.2	0.555445442105586
"415"	4	62	-0.3	0.370083122282068
"416"	4	63	-0.3	0.370083122282068
"417"	4	64	-0.314642654451045	0.345993661494477
"418"	4	65	-0.4	0.222868350133521
"419"	4	66	0.4	0.22286835013352
"420"	4	67	NA	NA
"421"	4	68	0.2	0.555445442105586
"422"	4	69	0	1
"423"	4	70	-0.1	0.769874999892136
"424"	4	71	-0.3	0.370083122282068
"425"	5	6	0.27524094128159	0.412687797958505
"426"	5	7	NA	NA
"427"	5	8	0.627272727272727	0.0439890872097468
"428"	5	9	0.490909090909091	0.12916175578724
"429"	5	10	0.472727272727273	0.145606226031775
"430"	5	11	0.4	0.225014088667236
"431"	5	12	0.545454545454545	0.0874530601806711
"432"	5	13	0.394512015836946	0.229872665269097
"433"	5	14	0.6	0.0561788662417929
"434"	5	15	0.490909090909091	0.12916175578724
"435"	5	16	0.472727272727273	0.145606226031775
"436"	5	17	0.4	0.225014088667236
"437"	5	18	-0.527272727272727	0.100128813234869
"438"	5	19	-0.5	0.12142915576969
"439"	5	20	-0.636363636363636	0.0403864039827663
"440"	5	21	0.281818181818182	0.402135894917861
"441"	5	22	0.318181818181818	0.341354869770817
"442"	5	23	0.618181818181818	0.0478169053553036
"443"	5	24	-0.527272727272727	0.100128813234869
"444"	5	25	-0.5	0.12142915576969
"445"	5	26	-0.636363636363636	0.0403864039827663
"446"	5	27	-0.0272727272727273	0.945983670156841
"447"	5	28	0.181157891956663	0.593982459562779
"448"	5	29	-0.2	0.557553078061045
"449"	5	30	0.6	0.0561788662417929
"450"	5	31	NA	NA
"451"	5	32	0.709090909090909	0.0187283868010195
"452"	5	33	0.518181818181818	0.106918151178142
"453"	5	34	0.5	0.117306803014238
"454"	5	35	0.6	0.0561788662417929
"455"	5	36	-0.163636363636364	0.633869587610079
"456"	5	37	0.363636363636364	0.273172593057827
"457"	5	38	0.5	0.12142915576969
"458"	5	42	0.27524094128159	0.412687797958505
"459"	5	43	NA	NA
"460"	5	44	-0.229367451067992	0.497492059936935
